,UF,V0227,V0226,V02322,V4621,V4105
0,11,,,,,1
1,11,,,,,1
2,11,,2.0,4.0,350.0,1
3,11,3.0,4.0,4.0,339.0,1
4,11,,2.0,4.0,266.0,1
5,11,,2.0,4.0,400.0,1
6,11,,2.0,4.0,411.0,1
7,11,,2.0,2.0,1333.0,1
8,11,,2.0,2.0,1750.0,1
9,11,,2.0,2.0,1300.0,1
10,11,,2.0,4.0,280.0,1
11,11,,2.0,4.0,333.0,1
12,11,,2.0,4.0,1100.0,1
13,11,,,,,1
14,11,3.0,4.0,4.0,650.0,1
15,11,,2.0,4.0,678.0,1
16,11,3.0,4.0,4.0,3000.0,1
17,11,,2.0,2.0,1250.0,1
18,11,,2.0,4.0,1178.0,1
19,11,,2.0,4.0,500.0,1
20,11,,2.0,4.0,666.0,1
21,11,,2.0,4.0,1489.0,1
22,11,,2.0,2.0,1500.0,1
23,11,,,,,1
24,11,,2.0,2.0,2410.0,1
25,11,,2.0,4.0,658.0,1
26,11,,2.0,4.0,271.0,1
27,11,,,,,1
28,11,,2.0,2.0,960.0,1
29,11,,2.0,2.0,800.0,1
30,11,,2.0,4.0,169.0,1
31,11,,2.0,2.0,1833.0,1
32,11,,2.0,2.0,2000.0,1
33,11,,2.0,4.0,372.0,1
34,11,,2.0,2.0,2000.0,1
35,11,,2.0,4.0,550.0,1
36,11,,2.0,2.0,862.0,1
37,11,,,,,1
38,11,,2.0,4.0,559.0,1
39,11,,,,,1
40,11,,2.0,2.0,447.0,1
41,11,,2.0,4.0,339.0,1
42,11,,2.0,4.0,212.0,1
43,11,,2.0,2.0,335.0,1
44,11,,2.0,4.0,533.0,1
45,11,,2.0,4.0,0.0,1
46,11,,2.0,2.0,466.0,1
47,11,,2.0,2.0,705.0,1
48,11,,2.0,4.0,109.0,1
49,11,,2.0,4.0,600.0,1
50,11,,2.0,4.0,0.0,1
51,11,,2.0,2.0,339.0,1
52,11,,2.0,4.0,650.0,1
53,11,,2.0,2.0,0.0,1
54,11,,2.0,4.0,456.0,1
55,11,,,,,1
56,11,,2.0,4.0,114.0,1
57,11,,2.0,4.0,120.0,1
58,11,,,,,1
59,11,,2.0,2.0,525.0,1
60,11,,2.0,4.0,1134.0,1
61,11,,2.0,4.0,166.0,1
62,11,,,,,1
63,11,,2.0,4.0,500.0,1
64,11,,,,,1
65,11,,2.0,4.0,689.0,1
66,11,,2.0,2.0,580.0,1
67,11,,2.0,4.0,850.0,1
68,11,,,,,1
69,11,,,,,1
70,11,,2.0,4.0,628.0,1
71,11,,2.0,4.0,130.0,1
72,11,,,,,1
73,11,,2.0,4.0,678.0,1
74,11,,2.0,4.0,1800.0,1
75,11,,2.0,4.0,666.0,1
76,11,,,,,1
77,11,,2.0,2.0,2217.0,1
78,11,,2.0,4.0,999999999999.0,1
79,11,,,,,1
80,11,,2.0,2.0,355.0,1
81,11,,2.0,4.0,339.0,1
82,11,,2.0,2.0,999999999999.0,1
83,11,,2.0,4.0,450.0,1
84,11,,2.0,2.0,300.0,1
85,11,,2.0,2.0,326.0,1
86,11,,2.0,2.0,640.0,1
87,11,,2.0,2.0,725.0,1
88,11,,2.0,4.0,1200.0,1
89,11,,2.0,2.0,169.0,1
90,11,,2.0,4.0,700.0,1
91,11,,2.0,4.0,34.0,1
92,11,,2.0,2.0,246.0,1
93,11,,2.0,2.0,375.0,1
94,11,,2.0,4.0,999999999999.0,1
95,11,,2.0,2.0,433.0,1
96,11,,2.0,4.0,999999999999.0,1
97,11,,,,,1
98,11,,2.0,4.0,500.0,1
99,11,,2.0,2.0,1300.0,1
100,11,,2.0,4.0,1500.0,1
101,11,,2.0,4.0,850.0,1
102,11,,2.0,2.0,500.0,1
103,11,,2.0,4.0,642.0,1
104,11,,2.0,4.0,1500.0,1
105,11,,2.0,4.0,300.0,1
106,11,,2.0,4.0,0.0,1
107,11,,2.0,4.0,537.0,1
108,11,,2.0,4.0,600.0,1
109,11,,,,,1
110,11,3.0,4.0,4.0,159.0,1
111,11,,2.0,4.0,538.0,1
112,11,,2.0,4.0,678.0,1
113,11,,2.0,4.0,650.0,1
114,11,,2.0,2.0,1277.0,1
115,11,,,,,1
116,11,,2.0,4.0,1210.0,1
117,11,3.0,4.0,4.0,674.0,1
118,11,,2.0,2.0,1221.0,1
119,11,,,,,1
120,11,,2.0,4.0,800.0,1
121,11,,2.0,4.0,243.0,1
122,11,,2.0,4.0,678.0,8
123,11,,2.0,4.0,357.0,8
124,11,,2.0,4.0,500.0,8
125,11,,2.0,4.0,335.0,8
126,11,,,,,8
127,11,,,,,8
128,11,,2.0,4.0,363.0,8
129,11,,2.0,4.0,121.0,8
130,11,,2.0,4.0,125.0,8
131,11,,,,,8
132,11,,2.0,4.0,740.0,8
133,11,,,,,8
134,11,,2.0,2.0,0.0,8
135,11,,2.0,4.0,120.0,8
136,11,,,,,8
137,11,,,,,8
138,11,,,,,8
139,11,,2.0,4.0,871.0,1
140,11,,2.0,4.0,375.0,1
141,11,,2.0,4.0,728.0,1
142,11,,2.0,4.0,369.0,1
143,11,,2.0,4.0,358.0,1
144,11,,2.0,4.0,339.0,1
145,11,,2.0,4.0,145.0,1
146,11,3.0,4.0,4.0,0.0,1
147,11,,2.0,4.0,182.0,1
148,11,,2.0,4.0,850.0,1
149,11,,2.0,4.0,625.0,1
150,11,,2.0,4.0,1370.0,1
151,11,,2.0,2.0,1666.0,1
152,11,3.0,4.0,4.0,346.0,1
153,11,,2.0,4.0,278.0,1
154,11,,,,,1
155,11,,2.0,2.0,999999999999.0,1
156,11,,2.0,2.0,388.0,1
157,11,3.0,4.0,4.0,250.0,1
158,11,,,,,1
159,11,,2.0,2.0,192.0,1
160,11,,2.0,4.0,999999999999.0,1
161,11,,2.0,4.0,566.0,1
162,11,,2.0,2.0,375.0,1
163,11,,,,,1
164,11,,2.0,4.0,782.0,1
165,11,,2.0,2.0,680.0,1
166,11,,2.0,4.0,145.0,1
167,11,,2.0,4.0,258.0,1
168,11,,2.0,2.0,330.0,1
169,11,,,,,1
170,11,,2.0,4.0,275.0,1
171,11,,2.0,4.0,2850.0,1
172,11,,2.0,4.0,1356.0,1
173,11,,2.0,2.0,1000.0,1
174,11,,2.0,4.0,1356.0,1
175,11,,2.0,2.0,1066.0,1
176,11,,2.0,2.0,640.0,1
177,11,,2.0,4.0,726.0,1
178,11,,,,,1
179,11,,2.0,2.0,739.0,1
180,11,,,,,1
181,11,,,,,1
182,11,,,,,1
183,11,,2.0,4.0,778.0,1
184,11,,2.0,2.0,747.0,1
185,11,,2.0,2.0,999999999999.0,1
186,11,,2.0,2.0,2000.0,1
187,11,,2.0,2.0,636.0,1
188,11,,2.0,4.0,339.0,1
189,11,,2.0,4.0,689.0,1
190,11,,2.0,4.0,878.0,8
191,11,,,,,8
192,11,,2.0,2.0,275.0,8
193,11,,2.0,4.0,452.0,8
194,11,,2.0,4.0,1500.0,8
195,11,,2.0,4.0,919.0,8
196,11,,,,,8
197,11,,2.0,4.0,154.0,8
198,11,,2.0,4.0,204.0,8
199,11,,2.0,4.0,250.0,8
200,11,,2.0,2.0,4766.0,8
201,11,,2.0,4.0,489.0,8
202,11,,2.0,4.0,240.0,8
203,11,,2.0,4.0,1278.0,8
204,11,,,,,8
205,11,,2.0,2.0,140.0,8
206,11,,2.0,4.0,540.0,8
207,11,,2.0,2.0,933.0,8
208,11,,,,,8
209,11,,,,,8
210,11,,,,,8
211,11,,,,,8
212,11,,,,,8
213,11,,2.0,2.0,275.0,8
214,11,,2.0,4.0,1533.0,8
215,11,,2.0,4.0,1879.0,8
216,11,,2.0,4.0,169.0,8
217,11,,2.0,4.0,275.0,8
218,11,,2.0,2.0,1330.0,8
219,11,,2.0,4.0,678.0,8
220,11,,2.0,4.0,1078.0,8
221,11,,2.0,4.0,878.0,8
222,11,,,,,8
223,11,,2.0,4.0,166.0,8
224,11,,2.0,4.0,450.0,1
225,11,,2.0,2.0,2166.0,1
226,11,,,,,1
227,11,,2.0,4.0,378.0,1
228,11,,2.0,2.0,5666.0,1
229,11,,2.0,2.0,1014.0,1
230,11,,2.0,2.0,919.0,1
231,11,,2.0,2.0,1000.0,1
232,11,,2.0,2.0,1100.0,1
233,11,,2.0,4.0,1040.0,1
234,11,,2.0,4.0,326.0,1
235,11,,2.0,2.0,2000.0,1
236,11,3.0,4.0,2.0,1000.0,1
237,11,,2.0,4.0,889.0,1
238,11,,,,,1
239,11,,2.0,4.0,1760.0,1
240,11,,2.0,2.0,1500.0,1
241,11,,2.0,4.0,350.0,1
242,11,,2.0,2.0,482.0,1
243,11,,2.0,2.0,1539.0,1
244,11,,2.0,4.0,1025.0,1
245,11,,2.0,4.0,530.0,1
246,11,,2.0,2.0,2663.0,1
247,11,,2.0,2.0,1500.0,1
248,11,,2.0,4.0,0.0,1
249,11,,2.0,4.0,139.0,1
250,11,,2.0,2.0,687.0,1
251,11,,,,,1
252,11,,2.0,2.0,400.0,1
253,11,,2.0,2.0,1282.0,1
254,11,,2.0,4.0,839.0,1
255,11,,2.0,4.0,678.0,1
256,11,,2.0,4.0,400.0,1
257,11,,2.0,4.0,669.0,1
258,11,,2.0,2.0,300.0,1
259,11,,2.0,2.0,135.0,1
260,11,,2.0,4.0,678.0,1
261,11,,,,,1
262,11,,2.0,2.0,350.0,1
263,11,,2.0,4.0,1100.0,1
264,11,,2.0,4.0,602.0,1
265,11,,2.0,4.0,1200.0,1
266,11,,2.0,4.0,339.0,1
267,11,,2.0,4.0,2000.0,1
268,11,,2.0,4.0,739.0,1
269,11,,2.0,4.0,700.0,1
270,11,,2.0,4.0,678.0,1
271,11,,2.0,2.0,1250.0,1
272,11,,2.0,4.0,562.0,1
273,11,,2.0,4.0,100.0,1
274,11,,2.0,2.0,1061.0,1
275,11,,2.0,2.0,950.0,1
276,11,,2.0,4.0,669.0,1
277,11,,2.0,2.0,1150.0,1
278,11,,2.0,2.0,1500.0,1
279,11,,2.0,2.0,590.0,1
280,11,,2.0,4.0,0.0,1
281,11,,2.0,2.0,2263.0,1
282,11,,2.0,4.0,544.0,1
283,11,,2.0,2.0,850.0,1
284,11,,2.0,4.0,133.0,1
285,11,,,,,1
286,11,,2.0,4.0,1200.0,1
287,11,,2.0,2.0,1100.0,1
288,11,,2.0,2.0,852.0,1
289,11,,2.0,4.0,165.0,1
290,11,,,,,1
291,11,,2.0,4.0,850.0,1
292,11,,,,,1
293,11,,2.0,4.0,3750.0,1
294,11,,2.0,2.0,1166.0,1
295,11,,2.0,4.0,169.0,1
296,11,,2.0,2.0,1160.0,1
297,11,,2.0,2.0,313.0,1
298,11,,2.0,4.0,789.0,1
299,11,,,,,1
300,11,,,,,1
301,11,,2.0,4.0,40.0,1
302,11,,2.0,2.0,850.0,1
303,11,,2.0,2.0,329.0,1
304,11,,2.0,2.0,427.0,1
305,11,,,,,1
306,11,,2.0,2.0,600.0,1
307,11,,2.0,4.0,1625.0,1
308,11,,2.0,4.0,889.0,1
309,11,,2.0,4.0,325.0,1
310,11,,2.0,4.0,1400.0,1
311,11,,2.0,4.0,829.0,1
312,11,,2.0,2.0,292.0,1
313,11,,2.0,4.0,643.0,1
314,11,,2.0,4.0,950.0,1
315,11,,2.0,2.0,1650.0,1
316,11,,2.0,4.0,1660.0,1
317,11,,2.0,2.0,571.0,1
318,11,,,,,1
319,11,,2.0,4.0,290.0,1
320,11,,2.0,2.0,482.0,1
321,11,,2.0,4.0,4450.0,1
322,11,,2.0,4.0,354.0,1
323,11,,2.0,2.0,4000.0,1
324,11,,2.0,2.0,6213.0,1
325,11,,2.0,4.0,594.0,1
326,11,,2.0,4.0,466.0,1
327,11,,,,,1
328,11,,2.0,4.0,28.0,1
329,11,,2.0,4.0,428.0,1
330,11,,2.0,4.0,678.0,1
331,11,3.0,4.0,4.0,1356.0,1
332,11,,2.0,4.0,56.0,1
333,11,,2.0,4.0,1050.0,1
334,11,,2.0,4.0,566.0,1
335,11,,,,,1
336,11,,2.0,4.0,1366.0,1
337,11,,2.0,2.0,1100.0,1
338,11,,2.0,4.0,1500.0,1
339,11,,2.0,4.0,1678.0,8
340,11,,2.0,4.0,240.0,8
341,11,,2.0,4.0,162.0,8
342,11,,2.0,4.0,460.0,8
343,11,,2.0,4.0,350.0,8
344,11,3.0,4.0,2.0,403.0,8
345,11,,2.0,4.0,451.0,8
346,11,,2.0,4.0,678.0,8
347,11,,2.0,4.0,418.0,8
348,11,,2.0,4.0,196.0,8
349,11,,2.0,4.0,339.0,8
350,11,,2.0,4.0,578.0,8
351,11,,2.0,4.0,728.0,8
352,11,,2.0,4.0,678.0,8
353,11,3.0,4.0,4.0,833.0,8
354,11,,2.0,4.0,1000.0,8
355,11,,2.0,2.0,1350.0,8
356,11,,2.0,4.0,0.0,8
357,11,,2.0,4.0,500.0,8
358,11,,2.0,4.0,489.0,8
359,11,,2.0,4.0,584.0,8
360,11,,,,,8
361,11,,2.0,4.0,160.0,8
362,11,,2.0,2.0,658.0,8
363,11,,2.0,4.0,133.0,8
364,11,,2.0,4.0,452.0,8
365,11,,2.0,4.0,0.0,8
366,11,,2.0,4.0,500.0,8
367,11,,2.0,4.0,678.0,8
368,11,,2.0,4.0,300.0,8
369,11,,,,,8
370,11,,2.0,4.0,216.0,8
371,11,,2.0,4.0,108.0,8
372,11,,2.0,4.0,500.0,8
373,11,,2.0,2.0,1050.0,1
374,11,,2.0,4.0,335.0,1
375,11,3.0,4.0,4.0,1000.0,1
376,11,,2.0,2.0,1211.0,1
377,11,,,,,1
378,11,,2.0,2.0,992.0,1
379,11,,2.0,4.0,500.0,1
380,11,,,,,1
381,11,,2.0,2.0,6000.0,1
382,11,,2.0,4.0,7000.0,1
383,11,,2.0,2.0,900.0,1
384,11,,2.0,2.0,1075.0,1
385,11,,2.0,4.0,678.0,1
386,11,,2.0,2.0,2347.0,1
387,11,,2.0,2.0,3400.0,1
388,11,,2.0,4.0,1000.0,1
389,11,,2.0,2.0,2175.0,1
390,11,,2.0,4.0,250.0,1
391,11,,2.0,4.0,333.0,1
392,11,,2.0,4.0,339.0,1
393,11,,2.0,2.0,2833.0,1
394,11,,2.0,4.0,200.0,1
395,11,3.0,4.0,4.0,678.0,1
396,11,1.0,4.0,4.0,678.0,1
397,11,,2.0,4.0,283.0,1
398,11,,2.0,4.0,24.0,1
399,11,,2.0,4.0,339.0,1
400,11,,2.0,4.0,678.0,1
401,11,,,,,1
402,11,,2.0,2.0,933.0,1
403,11,,2.0,4.0,678.0,1
404,11,,2.0,2.0,0.0,1
405,11,,2.0,4.0,666.0,8
